,date,moonPhase
490,2016-10-17,0.56
491,2016-10-18,0.59
492,2016-10-19,0.63
493,2016-10-20,0.67
494,2016-10-21,0.7
495,2016-10-22,0.74
496,2016-10-23,0.78
497,2016-10-24,0.81
498,2016-10-25,0.84
499,2016-10-26,0.88
500,2016-10-27,0.91
501,2016-10-28,0.94
502,2016-10-29,0.97
503,2016-10-30,0.01
504,2016-10-31,0.03
505,2016-11-01,0.06
506,2016-11-02,0.09
507,2016-11-03,0.12
508,2016-11-04,0.15
509,2016-11-05,0.18
510,2016-11-06,0.22
511,2016-11-07,0.25
512,2016-11-08,0.29
513,2016-11-09,0.32
514,2016-11-10,0.36
515,2016-11-11,0.39
516,2016-11-12,0.43
517,2016-11-13,0.47
518,2016-11-14,0.51
519,2016-11-15,0.55
520,2016-11-16,0.58
521,2016-11-17,0.62
522,2016-11-18,0.65
523,2016-11-19,0.69
524,2016-11-20,0.72
525,2016-11-21,0.76
526,2016-11-22,0.79
527,2016-11-23,0.82
528,2016-11-24,0.85
529,2016-11-25,0.88
530,2016-11-26,0.91
531,2016-11-27,0.94
532,2016-11-28,0.97
533,2016-11-29,0.02
534,2016-11-30,0.04
535,2016-12-01,0.07
536,2016-12-02,0.1
537,2016-12-03,0.13
538,2016-12-04,0.16
539,2016-12-05,0.2
540,2016-12-06,0.23
541,2016-12-07,0.27
542,2016-12-08,0.3
543,2016-12-09,0.34
544,2016-12-10,0.38
545,2016-12-11,0.41
546,2016-12-12,0.45
547,2016-12-13,0.48
548,2016-12-14,0.53
549,2016-12-15,0.57
550,2016-12-16,0.6
551,2016-12-17,0.64
552,2016-12-18,0.67
553,2016-12-19,0.7
554,2016-12-20,0.74
555,2016-12-21,0.77
556,2016-12-22,0.8
557,2016-12-23,0.83
558,2016-12-24,0.86
559,2016-12-25,0.89
560,2016-12-26,0.92
561,2016-12-27,0.95
562,2016-12-28,0.98
563,2016-12-29,0.02
564,2016-12-30,0.04
565,2016-12-31,0.08
566,2017-01-01,0.11
567,2017-01-02,0.14
568,2017-01-03,0.18
569,2017-01-04,0.21
570,2017-01-05,0.25
571,2017-01-06,0.29
572,2017-01-07,0.33
573,2017-01-08,0.36
574,2017-01-09,0.4
575,2017-01-10,0.44
576,2017-01-11,0.47
577,2017-01-12,0.52
578,2017-01-13,0.55
579,2017-01-14,0.58
580,2017-01-15,0.62
581,2017-01-16,0.65
582,2017-01-17,0.68
583,2017-01-18,0.71
584,2017-01-19,0.74
585,2017-01-20,0.77
586,2017-01-21,0.8
587,2017-01-22,0.83
588,2017-01-23,0.86
589,2017-01-24,0.89
590,2017-01-25,0.92
591,2017-01-26,0.95
592,2017-01-27,0.99
593,2017-01-28,0.02
594,2017-01-29,0.05
595,2017-01-30,0.09
596,2017-01-31,0.12
597,2017-02-01,0.16
598,2017-02-02,0.2
599,2017-02-03,0.24
600,2017-02-04,0.27
601,2017-02-05,0.31
602,2017-02-06,0.35
603,2017-02-07,0.39
604,2017-02-08,0.42
605,2017-02-09,0.46
606,2017-02-10,0.49
607,2017-02-11,0.53
608,2017-02-12,0.56
609,2017-02-13,0.59
610,2017-02-14,0.63
611,2017-02-15,0.66
612,2017-02-16,0.69
613,2017-02-17,0.72
614,2017-02-18,0.75
615,2017-02-19,0.78
616,2017-02-20,0.81
617,2017-02-21,0.84
618,2017-02-22,0.87
619,2017-02-23,0.9
620,2017-02-24,0.93
621,2017-02-25,0.97
622,2017-02-26,0.0
623,2017-02-27,0.04
624,2017-02-28,0.07
625,2017-03-01,0.11
626,2017-03-02,0.15
627,2017-03-03,0.18
628,2017-03-04,0.22
629,2017-03-05,0.26
630,2017-03-06,0.3
631,2017-03-07,0.33
632,2017-03-08,0.37
633,2017-03-09,0.41
634,2017-03-10,0.44
635,2017-03-11,0.47
636,2017-03-12,0.51
637,2017-03-13,0.54
638,2017-03-14,0.57
639,2017-03-15,0.6
640,2017-03-16,0.63
641,2017-03-17,0.66
642,2017-03-18,0.69
643,2017-03-19,0.72
644,2017-03-20,0.75
645,2017-03-21,0.78
646,2017-03-22,0.81
647,2017-03-23,0.85
648,2017-03-24,0.88
649,2017-03-25,0.91
650,2017-03-26,0.95
651,2017-03-27,0.98
652,2017-03-28,0.02
653,2017-03-29,0.06
654,2017-03-30,0.09
655,2017-03-31,0.13
656,2017-04-01,0.17
657,2017-04-02,0.21
658,2017-04-03,0.24
659,2017-04-04,0.28
660,2017-04-05,0.32
661,2017-04-06,0.35
662,2017-04-07,0.39
663,2017-04-08,0.42
664,2017-04-09,0.45
665,2017-04-10,0.48
666,2017-04-11,0.52
667,2017-04-12,0.55
668,2017-04-13,0.58
669,2017-04-14,0.61
670,2017-04-15,0.64
671,2017-04-16,0.67
672,2017-04-17,0.7
673,2017-04-18,0.73
674,2017-04-19,0.76
675,2017-04-20,0.79
676,2017-04-21,0.83
677,2017-04-22,0.86
678,2017-04-23,0.9
679,2017-04-24,0.93
680,2017-04-25,0.97
681,2017-04-26,0.01
682,2017-04-27,0.05
683,2017-04-28,0.08
684,2017-04-29,0.12
685,2017-04-30,0.16
686,2017-05-01,0.19
687,2017-05-02,0.23
688,2017-05-03,0.27
689,2017-05-04,0.3
690,2017-05-05,0.34
691,2017-05-06,0.37
692,2017-05-07,0.4
693,2017-05-08,0.43
694,2017-05-09,0.46
695,2017-05-10,0.49
696,2017-05-11,0.53
697,2017-05-12,0.56
698,2017-05-13,0.59
699,2017-05-14,0.62
700,2017-05-15,0.65
701,2017-05-16,0.68
702,2017-05-17,0.71
703,2017-05-18,0.74
704,2017-05-19,0.78
705,2017-05-20,0.81
706,2017-05-21,0.85
707,2017-05-22,0.88
708,2017-05-23,0.92
709,2017-05-24,0.95
710,2017-05-25,0.98
711,2017-05-26,0.04
712,2017-05-27,0.07
713,2017-05-28,0.11
714,2017-05-29,0.15
715,2017-05-30,0.18
716,2017-05-31,0.22
717,2017-06-01,0.25
718,2017-06-02,0.29
719,2017-06-03,0.32
720,2017-06-04,0.35
721,2017-06-05,0.38
722,2017-06-06,0.41
723,2017-06-07,0.44
724,2017-06-08,0.47
725,2017-06-09,0.51
726,2017-06-10,0.54
727,2017-06-11,0.56
728,2017-06-12,0.6
729,2017-06-13,0.63
730,2017-06-14,0.66
731,2017-06-15,0.69
732,2017-06-16,0.73
733,2017-06-17,0.76
734,2017-06-18,0.8
735,2017-06-19,0.83
736,2017-06-20,0.87
737,2017-06-21,0.91
738,2017-06-22,0.95
739,2017-06-23,0.98
740,2017-06-24,0.03
741,2017-06-25,0.06
742,2017-06-26,0.1
743,2017-06-27,0.13
744,2017-06-28,0.17
745,2017-06-29,0.2
746,2017-06-30,0.24
747,2017-07-01,0.27
748,2017-07-02,0.3
