date,date,Aggravated Assault,Aircraft,Arson,Assembly or Gathering Violations,Auto Theft,Auto Theft Recovery,Ballistics,Biological Threat,Bomb Hoax,Burglary - No Property Taken,Commercial Burglary,Confidence Games,Counterfeiting,Criminal Harassment,Disorderly Conduct,Drug Violation,Embezzlement,Evading Fare,Explosives,Fire Related Reports,Firearm Discovery,Firearm Violations,Fraud,Gambling,HOME INVASION,HUMAN TRAFFICKING,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Harassment,Harbor Related Incidents,Homicide,INVESTIGATE PERSON,Investigate Person,Investigate Property,Landlord/Tenant Disputes,Larceny,Larceny From Motor Vehicle,License Plate Related Incidents,License Violation,Liquor Violation,Manslaughter,Medical Assistance,Missing Person Located,Missing Person Reported,Motor Vehicle Accident Response,Offenses Against Child / Family,Operating Under the Influence,Other,Other Burglary,Phone Call Complaints,Police Service Incidents,Prisoner Related Incidents,Property Found,Property Lost,Property Related Damage,Prostitution,Recovered Stolen Property,Residential Burglary,Restraining Order Violations,Robbery,Search Warrants,Service,Simple Assault,Towed,Vandalism,Verbal Disputes,Violations,Warrant Arrests,moonPhase,total
2015-07-08,2015-07-08,5.0,,,,4.0,,3.0,,,,,6.0,,1.0,2.0,17.0,,,,,,3.0,3.0,,,,,2.0,2.0,1.0,,10.0,5.0,1.0,27.0,14.0,1.0,1.0,,,15.0,4.0,3.0,28.0,2.0,,26.0,,,4.0,,1.0,6.0,,1.0,,7.0,,3.0,1.0,1.0,17.0,5.0,11.0,8.0,4.0,7.0,0.74,262
2015-07-09,2015-07-09,5.0,,,2.0,8.0,2.0,1.0,,,,1.0,3.0,2.0,,2.0,18.0,,1.0,,1.0,1.0,,4.0,,,,,,,1.0,,10.0,8.0,,22.0,3.0,1.0,,1.0,,11.0,2.0,1.0,19.0,1.0,,21.0,,,5.0,,2.0,7.0,3.0,,2.0,5.0,2.0,3.0,1.0,1.0,15.0,6.0,12.0,7.0,5.0,4.0,0.78,232
2015-07-10,2015-07-10,14.0,,,1.0,5.0,1.0,,,,,2.0,5.0,2.0,1.0,5.0,17.0,,,,1.0,3.0,2.0,3.0,,,,,1.0,,,,12.0,5.0,2.0,39.0,17.0,1.0,1.0,,,13.0,4.0,5.0,28.0,1.0,1.0,18.0,,,5.0,,2.0,13.0,,,2.0,8.0,1.0,6.0,1.0,,23.0,6.0,9.0,9.0,6.0,8.0,0.82,309
2015-07-11,2015-07-11,9.0,,,,5.0,,1.0,,,,1.0,2.0,,,2.0,18.0,,,,1.0,2.0,1.0,6.0,,,,,,,1.0,,11.0,5.0,,28.0,10.0,,3.0,,,16.0,2.0,1.0,34.0,,1.0,13.0,,,,1.0,,11.0,1.0,,1.0,7.0,,2.0,,2.0,10.0,3.0,18.0,8.0,7.0,9.0,0.85,253
2015-07-12,2015-07-12,13.0,,,,9.0,,1.0,,,,1.0,4.0,,2.0,1.0,3.0,2.0,1.0,,1.0,,2.0,4.0,,,,,1.0,,,,9.0,4.0,,29.0,20.0,,1.0,1.0,,20.0,3.0,2.0,38.0,1.0,,7.0,1.0,,,,7.0,12.0,,,,5.0,,4.0,,,11.0,5.0,11.0,18.0,5.0,3.0,0.89,262
2015-07-13,2015-07-13,15.0,,,2.0,8.0,1.0,1.0,,,,5.0,1.0,1.0,,5.0,10.0,,,,1.0,1.0,3.0,2.0,,,,,,,,,23.0,3.0,,22.0,10.0,1.0,2.0,3.0,,17.0,7.0,6.0,24.0,,,14.0,1.0,,2.0,1.0,3.0,7.0,,,1.0,10.0,2.0,4.0,1.0,,15.0,5.0,7.0,11.0,11.0,6.0,0.92,275
2015-07-14,2015-07-14,9.0,,,,7.0,2.0,1.0,,,,1.0,3.0,2.0,,1.0,25.0,,,,5.0,,1.0,5.0,,,,,,,,,14.0,7.0,2.0,22.0,6.0,4.0,1.0,,,17.0,4.0,5.0,28.0,1.0,,16.0,1.0,,4.0,,3.0,11.0,,,4.0,3.0,,6.0,1.0,,11.0,7.0,15.0,9.0,10.0,15.0,0.96,289
2015-07-15,2015-07-15,6.0,,,2.0,5.0,,2.0,,,,1.0,3.0,1.0,,1.0,28.0,,,,2.0,,4.0,9.0,,,,,1.0,,,,7.0,6.0,5.0,35.0,15.0,2.0,1.0,,,21.0,3.0,3.0,23.0,,,22.0,1.0,,4.0,,2.0,7.0,1.0,,2.0,11.0,1.0,4.0,2.0,1.0,13.0,,8.0,10.0,6.0,11.0,0.98,292
2015-07-16,2015-07-16,3.0,,,1.0,7.0,2.0,3.0,,,,,4.0,2.0,,2.0,11.0,,1.0,,2.0,1.0,1.0,3.0,,,,,1.0,1.0,,,6.0,9.0,,24.0,11.0,,2.0,,,18.0,7.0,5.0,31.0,,1.0,25.0,1.0,,6.0,,4.0,9.0,1.0,1.0,4.0,10.0,,1.0,5.0,1.0,11.0,3.0,9.0,9.0,4.0,9.0,0.03,272
2015-07-17,2015-07-17,9.0,,,1.0,4.0,1.0,,,,,1.0,3.0,1.0,,5.0,27.0,1.0,,1.0,1.0,2.0,5.0,8.0,,,,,,,,,11.0,11.0,,32.0,10.0,,5.0,1.0,,15.0,6.0,6.0,27.0,1.0,,13.0,1.0,,1.0,1.0,3.0,6.0,1.0,,4.0,3.0,,9.0,1.0,1.0,14.0,5.0,15.0,7.0,11.0,6.0,0.06,297
2015-07-18,2015-07-18,12.0,,,,5.0,1.0,1.0,,,,1.0,3.0,1.0,,1.0,16.0,,1.0,,,1.0,,2.0,,,,,1.0,,,,10.0,10.0,2.0,22.0,10.0,,3.0,,,13.0,2.0,3.0,19.0,1.0,,12.0,2.0,,1.0,,4.0,6.0,,,,7.0,2.0,4.0,,1.0,19.0,8.0,15.0,7.0,5.0,5.0,0.09,239
