,Date,Percent Illumination,Total Crimes,City
357,2015-12-24,98.0,151,
358,2015-12-25,100.0,101,
359,2015-12-26,99.0,124,
360,2015-12-27,96.0,139,
361,2015-12-28,91.0,174,
362,2015-12-29,85.0,156,
363,2015-12-30,77.0,179,
364,2015-12-31,68.0,194,
365,2016-01-01,60.0,229,
366,2016-01-02,50.0,182,
367,2016-01-03,41.0,160,
368,2016-01-04,32.0,179,
369,2016-01-05,23.0,235,
370,2016-01-06,16.0,234,
371,2016-01-07,9.0,187,
372,2016-01-08,4.0,176,
373,2016-01-09,1.0,152,
374,2016-01-10,0.0,159,
375,2016-01-11,2.0,177,
376,2016-01-12,6.0,194,
377,2016-01-13,12.0,173,
378,2016-01-14,20.0,172,
379,2016-01-15,30.0,204,
380,2016-01-16,41.0,187,
381,2016-01-17,53.0,193,
382,2016-01-18,64.0,139,
383,2016-01-19,74.0,179,
384,2016-01-20,83.0,172,
385,2016-01-21,91.0,204,
386,2016-01-22,96.0,238,
387,2016-01-23,99.0,185,
388,2016-01-24,100.0,172,
389,2016-01-25,99.0,200,
390,2016-01-26,95.0,143,
391,2016-01-27,90.0,200,
392,2016-01-28,84.0,185,
393,2016-01-29,76.0,191,
394,2016-01-30,68.0,172,
395,2016-01-31,59.0,141,
396,2016-02-01,50.0,167,
397,2016-02-02,40.0,114,
398,2016-02-03,31.0,132,
399,2016-02-04,22.0,186,
400,2016-02-05,14.0,203,
401,2016-02-06,7.0,166,
402,2016-02-07,3.0,168,
403,2016-02-08,0.0,204,
404,2016-02-09,1.0,183,
405,2016-02-10,4.0,171,
406,2016-02-11,9.0,203,
407,2016-02-12,17.0,221,
408,2016-02-13,27.0,187,
409,2016-02-14,38.0,161,
410,2016-02-15,49.0,153,
411,2016-02-16,60.0,176,
412,2016-02-17,70.0,171,
413,2016-02-18,80.0,228,
414,2016-02-19,87.0,173,
415,2016-02-20,93.0,175,
416,2016-02-21,98.0,171,
417,2016-02-22,100.0,168,
418,2016-02-23,100.0,161,
419,2016-02-24,98.0,196,
420,2016-02-25,95.0,191,
421,2016-02-26,89.0,192,
422,2016-02-27,83.0,186,
423,2016-02-28,75.0,177,
424,2016-02-29,67.0,195,
425,2016-03-01,57.0,202,
426,2016-03-02,48.0,204,
427,2016-03-03,38.0,242,
428,2016-03-04,28.0,201,
429,2016-03-05,19.0,194,
430,2016-03-06,11.0,168,
431,2016-03-07,5.0,189,
432,2016-03-08,1.0,188,
433,2016-03-09,0.0,182,
434,2016-03-10,2.0,227,
435,2016-03-11,7.0,237,
436,2016-03-12,14.0,199,
437,2016-03-13,23.0,162,
438,2016-03-14,34.0,186,
439,2016-03-15,45.0,163,
440,2016-03-16,56.0,201,
441,2016-03-17,66.0,161,
442,2016-03-18,75.0,150,
443,2016-03-19,84.0,145,
444,2016-03-20,90.0,165,
445,2016-03-21,95.0,171,
446,2016-03-22,98.0,180,
447,2016-03-23,100.0,78,
448,2016-03-24,100.0,141,
449,2016-03-25,97.0,187,
450,2016-03-26,94.0,192,
451,2016-03-27,88.0,154,
452,2016-03-28,81.0,148,
453,2016-03-29,73.0,176,
454,2016-03-30,64.0,145,
455,2016-03-31,54.0,194,
456,2016-04-01,44.0,199,
457,2016-04-02,34.0,192,
458,2016-04-03,24.0,179,
459,2016-04-04,15.0,206,
460,2016-04-05,8.0,182,
461,2016-04-06,2.0,203,
462,2016-04-07,0.0,209,
463,2016-04-08,1.0,223,
464,2016-04-09,5.0,198,
465,2016-04-10,11.0,157,
466,2016-04-11,20.0,195,
467,2016-04-12,29.0,197,
468,2016-04-13,40.0,230,
469,2016-04-14,51.0,203,
470,2016-04-15,61.0,224,
471,2016-04-16,70.0,185,
472,2016-04-17,79.0,122,
473,2016-04-18,86.0,197,
474,2016-04-19,92.0,190,
475,2016-04-20,96.0,225,
476,2016-04-21,99.0,241,
477,2016-04-22,100.0,203,
478,2016-04-23,99.0,184,
479,2016-04-24,96.0,176,
480,2016-04-25,92.0,207,
481,2016-04-26,86.0,181,
482,2016-04-27,78.0,219,
483,2016-04-28,70.0,196,
484,2016-04-29,60.0,173,
485,2016-04-30,49.0,172,
486,2016-05-01,39.0,224,
487,2016-05-02,28.0,192,
488,2016-05-03,18.0,168,
489,2016-05-04,10.0,203,
490,2016-05-05,4.0,217,
491,2016-05-06,1.0,214,
492,2016-05-07,0.0,212,
493,2016-05-08,3.0,187,
494,2016-05-09,9.0,190,
495,2016-05-10,16.0,186,
496,2016-05-11,25.0,193,
497,2016-05-12,35.0,177,
498,2016-05-13,45.0,213,
499,2016-05-14,55.0,200,
500,2016-05-15,65.0,149,
501,2016-05-16,74.0,158,
502,2016-05-17,81.0,179,
503,2016-05-18,88.0,180,
504,2016-05-19,94.0,215,
505,2016-05-20,97.0,226,
506,2016-05-21,99.0,188,
507,2016-05-22,100.0,192,
508,2016-05-23,98.0,173,
509,2016-05-24,95.0,204,
510,2016-05-25,89.0,209,
511,2016-05-26,82.0,206,
512,2016-05-27,74.0,216,
513,2016-05-28,64.0,188,
514,2016-05-29,53.0,159,
515,2016-05-30,42.0,208,
516,2016-05-31,31.0,194,
517,2016-06-01,21.0,232,
518,2016-06-02,12.0,232,
519,2016-06-03,6.0,230,
520,2016-06-04,1.0,179,
521,2016-06-05,0.0,189,
522,2016-06-06,2.0,173,
523,2016-06-07,6.0,180,
524,2016-06-08,12.0,203,
525,2016-06-09,20.0,233,
526,2016-06-10,29.0,220,
527,2016-06-11,39.0,196,
528,2016-06-12,49.0,185,
529,2016-06-13,58.0,183,
530,2016-06-14,68.0,188,
531,2016-06-15,76.0,193,
532,2016-06-16,84.0,213,
533,2016-06-17,90.0,196,
534,2016-06-18,95.0,195,
535,2016-06-19,98.0,174,
536,2016-06-20,100.0,172,
537,2016-06-21,99.0,180,
538,2016-06-22,97.0,168,
539,2016-06-23,92.0,190,
540,2016-06-24,85.0,168,
